bedrooms_per_household,bedrooms_per_room,households,housing_median_age,median_house_value,median_income,median_income_squared,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,population,population_per_household,rooms_per_household,total_bedrooms,total_rooms,urbanized,longitude,latitude
0.7543859649122807,0.2721518987341772,57.0,2.0,60000.0,2.5625,6.56640625,0,0,0,1,0,94.0,1.649122807017544,2.771929824561404,43.0,158.0,1,-122.29,37.82
1.9798657718120805,0.3520286396181384,149.0,2.0,237500.0,2.875,8.265625,0,0,0,1,0,240.0,1.610738255033557,5.624161073825503,295.0,838.0,1,-122.01,37.59
1.152542372881356,0.2102009273570324,118.0,2.0,310000.0,6.641,44.102881,0,0,0,1,0,203.0,1.7203389830508475,5.483050847457627,136.0,647.0,1,-122.51,37.91
0.975095785440613,0.1936097375427919,522.0,2.0,158500.0,4.2361,17.944543210000003,0,0,0,0,1,1044.0,2.0,5.03639846743295,509.0,2629.0,1,-117.26,33.19
1.1707920792079207,0.2045847750865052,808.0,2.0,214500.0,3.6736,13.49533696,0,0,0,0,1,2091.0,2.587871287128713,5.7227722772277225,946.0,4624.0,1,-117.23,33.16
1.2892561983471074,0.3883817427385892,363.0,2.0,275000.0,3.6437,13.27654969,0,0,0,1,0,577.0,1.5895316804407713,3.319559228650138,468.0,1205.0,1,-122.43,37.78
1.0392299309843809,0.2041529898672756,2753.0,3.0,273500.0,6.0824,36.99558976,0,0,0,1,0,7205.0,2.6171449328005814,5.0904467853251,2861.0,14014.0,0,-122.07,37.52
1.0563106796116506,0.1908771929824561,515.0,3.0,175000.0,6.0115,36.13813225,0,0,0,1,0,1024.0,1.9883495145631067,5.533980582524272,544.0,2850.0,1,-122.33,37.98
1.2142170989433236,0.2174436607603647,1041.0,3.0,341300.0,4.3897,19.26946609,0,0,0,0,1,2363.0,2.269932756964457,5.584053794428434,1264.0,5813.0,1,-117.59,33.44
1.1063829787234043,0.1580547112462006,893.0,3.0,467600.0,8.4355,71.15766024999999,0,0,0,0,1,2330.0,2.609182530795073,7.0,988.0,6251.0,1,-117.21,32.96
1.2829162132752991,0.3403579676674365,919.0,3.0,275000.0,4.7105,22.18881025,0,0,0,1,0,1441.0,1.5680087051142546,3.769314472252448,1179.0,3464.0,1,-122.39,37.78
1.205128205128205,0.1906229720960415,975.0,3.0,435900.0,6.7413,45.44512569,0,0,0,1,0,2198.0,2.2543589743589743,6.322051282051282,1175.0,6164.0,1,-122.24,37.55
0.9404761904761904,0.1158924205378973,252.0,4.0,500001.0,11.3421,128.64323241,0,0,0,1,0,830.0,3.293650793650793,8.115079365079366,237.0,2045.0,0,-122.08,37.82
1.1540114613180517,0.2014001750218777,1396.0,4.0,174200.0,5.0969,25.97838961,0,0,0,1,0,3596.0,2.5759312320916905,5.729942693409742,1611.0,7999.0,0,-122.32,38.06
1.2164599774520857,0.2698174543635909,887.0,4.0,112500.0,3.911,15.295921325683594,0,0,0,1,0,1591.0,1.7936865839909808,4.508455467869222,1079.0,3999.0,1,-122.33,37.99
1.1207865168539326,0.2799017888460189,712.0,4.0,186800.0,4.2895,18.39981025,0,0,0,1,0,1285.0,1.8047752808988764,4.004213483146067,798.0,2851.0,0,-122.35,37.91
1.108695652173913,0.1639871382636656,46.0,4.0,500001.0,9.8091,96.21844281,0,0,0,0,1,128.0,2.782608695652174,6.760869565217392,51.0,311.0,1,-118.41,33.75
1.060483870967742,0.2502378686964795,248.0,4.0,130200.0,3.6389,13.24159321,0,0,0,1,0,455.0,1.8346774193548387,4.237903225806452,263.0,1051.0,0,-122.3,38.27
1.2085308056872035,0.140728476821192,211.0,4.0,294200.0,6.487,42.081169,0,0,0,0,1,661.0,3.132701421800948,8.587677725118484,255.0,1812.0,1,-117.62,33.47
1.033210332103321,0.1422041645505332,271.0,4.0,310800.0,7.6012,57.77824144000001,0,0,0,0,1,805.0,2.970479704797048,7.265682656826568,280.0,1969.0,1,-117.63,33.47
1.3011494252873563,0.2389193752638244,435.0,4.0,243800.0,5.4031,29.193489610000004,0,0,0,0,1,996.0,2.289655172413793,5.445977011494253,566.0,2369.0,1,-117.6,33.45
0.8490566037735849,0.1745689655172413,477.0,4.0,256000.0,6.3369,40.15630161,0,0,0,0,1,1408.0,2.951781970649895,4.863731656184487,405.0,2320.0,1,-117.63,33.47
1.09794061302682,0.2814782982380748,4176.0,4.0,280800.0,3.6287,13.167463689999998,0,0,0,0,1,7604.0,1.82088122605364,3.900622605363985,4585.0,16289.0,1,-117.22,32.86
1.1748927038626609,0.2541782729805014,932.0,4.0,267000.0,3.9356,15.48894736,0,0,0,0,1,1923.0,2.063304721030043,4.622317596566524,1095.0,4308.0,1,-117.2,32.86
1.0600203458799593,0.1622294877782967,983.0,4.0,337000.0,7.6348,58.29017104,0,0,0,0,1,2607.0,2.6520854526958293,6.534079348931841,1042.0,6423.0,1,-117.24,32.98
1.0705128205128205,0.1750813882911217,2964.0,4.0,322500.0,6.357,40.411449000000005,0,0,0,0,1,7301.0,2.463225371120108,6.114372469635628,3173.0,18123.0,1,-117.22,32.95
1.0381194409148666,0.2936736161035226,787.0,4.0,124200.0,4.2621,18.165496410000003,0,0,0,0,1,1309.0,1.6632782719186785,3.534942820838628,817.0,2782.0,1,-117.12,32.78
1.0559075661572863,0.1722188449848024,2683.0,4.0,233400.0,5.6631,32.07070161,0,0,0,0,1,7985.0,2.976146105106225,6.1311964219157655,2833.0,16450.0,1,-116.97,32.65
1.34375,0.1516401623527846,1696.0,4.0,450400.0,7.2731,52.89798361,0,0,0,0,1,5613.0,3.3095518867924527,8.861438679245284,2279.0,15029.0,1,-117.15,33.02
1.0,0.1701782820097244,105.0,4.0,183000.0,3.9205,15.37032025,0,0,0,0,1,224.0,2.1333333333333333,5.876190476190477,105.0,617.0,1,-117.29,33.13
1.1258741258741258,0.2333333333333333,286.0,4.0,168800.0,4.7961,23.00257521,0,0,0,0,1,755.0,2.63986013986014,4.825174825174825,322.0,1380.0,1,-117.29,33.12
1.1439509954058191,0.1997326203208556,2612.0,4.0,184100.0,3.7568,14.113546240000002,0,0,0,0,1,6666.0,2.5520673813169985,5.727411944869831,2988.0,14960.0,1,-117.3,33.22
1.036101083032491,0.1562329885683179,277.0,4.0,189800.0,3.8958,15.17725764,0,0,0,0,1,934.0,3.371841155234657,6.631768953068592,287.0,1837.0,1,-117.35,33.23
1.2328548644338118,0.2293088104420053,627.0,4.0,215700.0,2.9133,8.48731689,0,0,0,0,1,1481.0,2.3620414673046253,5.376395534290271,773.0,3371.0,1,-117.27,33.18
1.091743119266055,0.2540563620836891,545.0,4.0,216100.0,2.9469,8.68421961,0,0,0,0,1,1518.0,2.785321100917431,4.297247706422018,595.0,2342.0,1,-117.26,33.19
1.1161048689138575,0.1529250769757099,801.0,4.0,247800.0,5.5956,31.310739360000003,0,0,0,0,1,2282.0,2.848938826466916,7.298377028714107,894.0,5846.0,1,-117.31,33.16
1.0447195553309752,0.1729040351243989,3958.0,4.0,244900.0,4.6357,21.48971449,0,0,0,0,1,10877.0,2.7481051035876707,6.042193026781202,4135.0,23915.0,1,-117.27,33.15
1.0738831615120277,0.2038486627527723,582.0,4.0,228100.0,4.0,16.0,0,0,0,0,1,1164.0,2.0,5.268041237113402,625.0,3066.0,1,-117.23,33.16
1.228163992869875,0.2112848819380558,561.0,4.0,258900.0,4.3672,19.072435840000004,0,0,0,0,1,926.0,1.6506238859180036,5.81283422459893,689.0,3261.0,1,-117.21,33.12
1.1733870967741935,0.1562835660580021,248.0,4.0,237400.0,7.745,59.985025,0,0,0,0,1,685.0,2.7620967741935485,7.508064516129032,291.0,1862.0,1,-117.23,33.1
1.2227122381477398,0.2119243263902159,907.0,4.0,311800.0,6.2007,38.44868049,0,0,0,1,0,1690.0,1.8632855567805957,5.769570011025358,1109.0,5233.0,1,-122.26,37.53
0.9813084112149532,0.1555094786729857,535.0,4.0,166600.0,4.9237,24.242821690000003,0,0,0,0,1,1684.0,3.147663551401869,6.310280373831776,525.0,3376.0,1,-120.47,34.66
0.9851190476190476,0.1744860305745914,336.0,4.0,172600.0,4.1563,17.27482969,0,0,0,0,1,915.0,2.7232142857142856,5.645833333333333,331.0,1897.0,1,-120.48,34.66
1.1042435424354244,0.1529321579149099,2168.0,4.0,225200.0,5.8171,33.83865241,0,0,0,1,0,7025.0,3.2403136531365315,7.220479704797048,2394.0,15654.0,1,-122.22,38.07
1.0903083700440528,0.151237396883593,454.0,4.0,176100.0,5.3345,28.456890250000004,0,0,0,1,0,1497.0,3.297356828193833,7.209251101321586,495.0,3273.0,1,-122.14,38.16
1.2251925690983234,0.1618773946360153,2207.0,4.0,357600.0,6.6122,43.72118884,0,0,0,0,1,6187.0,2.803352967829633,7.568645219755324,2704.0,16704.0,1,-118.75,34.18
1.0614422369389256,0.1548245143286465,2718.0,5.0,350700.0,7.611,57.927321,0,0,0,1,0,7427.0,2.73252391464312,6.855776306107432,2885.0,18634.0,1,-122.24,37.72
0.912109375,0.1298665183537263,512.0,5.0,412500.0,7.0568,49.79842624,0,0,0,1,0,1738.0,3.39453125,7.0234375,467.0,3596.0,1,-122.06,37.73
1.2134146341463414,0.235224586288416,328.0,5.0,158300.0,3.663,13.417569,0,0,0,1,0,814.0,2.481707317073171,5.158536585365853,398.0,1692.0,1,-122.17,37.72
1.0149625935162094,0.1950167704839482,401.0,5.0,187800.0,5.4858,30.09400164,0,0,0,1,0,840.0,2.0947630922693268,5.204488778054863,407.0,2087.0,0,-122.18,37.68
1.181818181818182,0.2472919418758256,792.0,5.0,162500.0,3.2829,10.77743241,0,0,0,1,0,2240.0,2.8282828282828283,4.779040404040404,936.0,3785.0,1,-122.05,37.63
1.071526822558459,0.1468979822741844,727.0,5.0,294100.0,6.9961,48.94541521,0,0,0,1,0,2017.0,2.7744154057771664,7.294360385144429,779.0,5303.0,1,-122.09,37.97
1.3087400681044268,0.2697707065980346,881.0,5.0,266500.0,4.0473,16.38063729,0,0,0,1,0,1503.0,1.706015891032917,4.851305334846765,1153.0,4274.0,1,-122.05,37.93
1.0977653631284916,0.204368174726989,716.0,5.0,184800.0,5.0473,25.47523729,0,0,0,1,0,2053.0,2.86731843575419,5.371508379888268,786.0,3846.0,1,-122.26,38.02
1.0412844036697249,0.1449321628092577,872.0,5.0,272900.0,6.2073,38.53057329,0,0,0,1,0,3326.0,3.8142201834862384,7.184633027522936,908.0,6265.0,1,-122.26,38.0
1.1709905660377358,0.2683783783783783,848.0,5.0,196300.0,3.7826,14.30806276,0,0,0,0,1,1657.0,1.954009433962264,4.363207547169812,993.0,3700.0,1,-118.15,33.79
1.1691542288557213,0.157190635451505,201.0,5.0,345000.0,6.7232,45.20141824,0,0,0,1,0,555.0,2.7611940298507465,7.437810945273632,235.0,1495.0,1,-122.55,38.07
1.1310861423220977,0.1701887855734009,534.0,5.0,363500.0,5.3705,28.84227025,0,0,0,0,1,1571.0,2.941947565543072,6.646067415730337,604.0,3549.0,1,-117.63,33.45
1.0784313725490196,0.1332478267065697,867.0,5.0,477700.0,10.1154,102.32131716,0,0,0,0,1,2427.0,2.7993079584775087,8.093425605536332,935.0,7017.0,0,-118.05,33.65
0.9925373134328358,0.1661980631052796,536.0,5.0,179400.0,5.0829,25.835872410000004,0,0,0,0,1,2061.0,3.845149253731343,5.972014925373134,532.0,3201.0,1,-117.03,32.69
0.9822335025380712,0.2396284829721362,394.0,5.0,137200.0,2.2024,4.850565759999999,0,0,0,0,1,1094.0,2.7766497461928936,4.098984771573604,387.0,1615.0,1,-117.1,32.72
1.0867279894875164,0.3297448165869218,761.0,5.0,325000.0,1.3092,1.7140046399999995,0,0,0,0,1,2066.0,2.7148488830486204,3.295663600525624,827.0,2508.0,1,-117.16,32.71
1.0980392156862746,0.2870976929649672,918.0,5.0,176600.0,3.8542,14.85485764,0,0,0,0,1,1599.0,1.7418300653594772,3.8246187363834414,1008.0,3511.0,1,-117.22,32.87
1.08187134502924,0.3418329637841833,855.0,5.0,125000.0,1.7301,2.99324601,0,0,0,0,1,3148.0,3.68187134502924,3.1649122807017545,925.0,2706.0,1,-117.06,32.56
1.100702576112412,0.2916537387527149,854.0,5.0,108800.0,1.4384,2.06899456,0,0,0,0,1,3284.0,3.8454332552693207,3.7740046838407495,940.0,3223.0,1,-117.06,32.55
1.0544747081712065,0.2327179046801202,514.0,5.0,225600.0,4.0298,16.239288039999998,0,0,0,0,1,1213.0,2.359922178988327,4.531128404669261,542.0,2329.0,1,-117.04,32.64
0.9761904761904762,0.1576923076923077,42.0,5.0,281700.0,6.5151,42.44652801,0,0,0,0,1,157.0,3.738095238095238,6.190476190476191,41.0,260.0,1,-117.02,32.64
1.0356200527704484,0.2727588603196664,758.0,5.0,132000.0,1.7179,2.95118041,0,0,0,0,1,1727.0,2.278364116094987,3.796833773087071,785.0,2878.0,1,-117.04,32.74
1.0412105602060528,0.1555705214546854,1553.0,5.0,411300.0,5.9289,35.151855209999994,0,0,0,0,1,4496.0,2.895041854475209,6.692852543464262,1617.0,10394.0,0,-117.2,33.07
1.1017241379310343,0.2369299221357063,580.0,5.0,165800.0,3.4456,11.87215936,0,0,0,0,1,1633.0,2.81551724137931,4.650000095367432,639.0,2697.0,1,-117.28,33.19
1.202836879432624,0.1853146853146853,705.0,5.0,210400.0,5.0123,25.12315129,0,0,0,0,1,2314.0,3.2822695035461,6.490780141843971,848.0,4576.0,1,-117.22,33.14
